Wall time,Step,Value
1555910941.6711812,1674000,0.7668589353561401
1555910954.4093955,1678000,0.6183332800865173
1555910985.7577195,1688000,0.45098209381103516
1555911004.6939528,1694000,0.6951874494552612
1555911010.965018,1696000,0.8254852294921875
1555911017.3477106,1698000,0.6262499690055847
1555911036.5019438,1704000,0.757939338684082
1555911087.0319912,1720000,0.8535434603691101
1555911093.0686753,1722000,0.7789897322654724
1555911099.3583748,1724000,0.743821382522583
1555911111.947814,1728000,0.8385348320007324
1555911137.2266088,1736000,0.6181590557098389
1555911149.8434496,1740000,0.34807687997817993
1555911156.143553,1742000,0.6878713965415955
1555911181.603275,1750000,0.6795483231544495
1555911194.3538928,1754000,0.6759264469146729
1555911200.6251009,1756000,0.6809515357017517
1555911219.3218455,1762000,0.7398822903633118
1555911231.9990907,1766000,0.7756190299987793
1555911244.6314754,1770000,0.8823288679122925
1555911263.613105,1776000,0.7679786682128906
1555911276.2037654,1780000,0.6437708139419556
1555911282.531903,1782000,0.7753958106040955
1555911295.1370747,1786000,0.784756064414978
1555911301.4208412,1788000,0.8074999451637268
1555911320.4130967,1794000,0.7883332967758179
1555911339.2381463,1800000,0.6899999380111694
1555911345.6085117,1802000,0.7842316627502441
1555911389.8287196,1816000,0.8272058367729187
1555911396.1054568,1818000,0.8066303730010986
1555911402.6286259,1820000,0.6724666357040405
1555911408.9285238,1822000,0.7832194566726685
1555911421.5283031,1826000,0.8104782104492188
1555911427.8020937,1828000,0.7971817851066589
1555911440.2941895,1832000,0.6079069375991821
1555911446.590112,1834000,0.8435794711112976
1555911452.9144714,1836000,0.8875116109848022
1555911471.8829048,1842000,0.8519221544265747
1555911478.2368615,1844000,0.6814106702804565
1555911484.5976553,1846000,0.859479546546936
1555911490.9163332,1848000,0.7291374802589417
1555911503.8424509,1852000,0.8009886145591736
1555911541.581162,1864000,0.7940115928649902
1555911547.9103947,1866000,0.9054999351501465
1555911566.8336694,1872000,0.7149888277053833
1555911611.0610316,1886000,0.7004650831222534
1555911629.9880047,1892000,0.7888627052307129
1555911674.190061,1906000,0.7452790141105652
1555911680.4799407,1908000,0.9101037383079529
1555911686.7373724,1910000,0.8651960492134094
1555911699.3140068,1914000,0.8652940392494202
1555911705.6985483,1916000,0.7926153540611267
1555911711.957876,1918000,0.8453749418258667
1555911730.8576045,1924000,0.8874301910400391
1555911737.2493868,1926000,0.9059215188026428
1555911749.7957997,1930000,0.8983912467956543
1555911762.4361272,1934000,0.7256851196289062
1555911768.5254672,1936000,0.8930567502975464
1555911793.7370443,1944000,0.7537307143211365
1555911800.0642219,1946000,0.8804106712341309
1555911825.4410117,1954000,0.8698557019233704
1555911831.7458355,1956000,0.8602603673934937
1555911838.1947873,1958000,0.8526382446289062
1555911844.5177815,1960000,0.8367856740951538
1555911863.7268224,1966000,0.8787589073181152
1555911870.0368192,1968000,0.7583522200584412
1555911876.3006282,1970000,0.8945105671882629
1555911895.0395029,1976000,0.7724791169166565
1555911901.3625557,1978000,0.7987499237060547
1555911951.8186967,1994000,0.8527281880378723
1555911977.2503622,2002000,0.849245548248291
1555911989.5329206,2006000,0.7969244718551636
1555912002.1445138,2010000,0.8592811822891235
1555912008.4559338,2012000,0.8602244257926941
1555912027.2917836,2018000,0.8134680390357971
1555912033.6034446,2020000,0.8393908739089966
1555912046.2187917,2024000,0.8025777339935303
1555912052.479256,2026000,0.836805522441864
1555912058.8017135,2028000,0.7869607210159302
1555912065.1311212,2030000,0.855808436870575
1555912083.9802878,2036000,0.8796696066856384
1555912134.354069,2052000,0.813887894153595
1555912146.9741492,2056000,0.7983181476593018
1555912159.620956,2060000,0.9144463539123535
1555912172.1714196,2064000,0.8748703002929688
1555912178.4346044,2066000,0.8624387383460999
1555912184.7911797,2068000,0.8219387531280518
1555912197.32783,2072000,0.7242036461830139
1555912209.6768973,2076000,0.8558957576751709
1555912216.0479932,2078000,0.784779965877533
1555912222.329946,2080000,0.7638888359069824
1555912241.2280686,2086000,0.834415078163147
1555912253.859264,2090000,0.7714360952377319
1555912298.0614314,2104000,0.8702980279922485
1555912304.1593063,2106000,0.7408771514892578
1555912322.9793386,2112000,0.7551590204238892
1555912335.6202621,2116000,0.865284264087677
1555912373.3857229,2128000,0.8226121664047241
1555912379.6954503,2130000,0.9014399647712708
1555912392.332317,2134000,0.7968729734420776
1555912404.8813171,2138000,0.7961980700492859
1555912429.8632712,2146000,0.7895686030387878
1555912455.3205166,2154000,0.8510977625846863
1555912467.9080887,2158000,0.8779544830322266
1555912480.5207446,2162000,0.6887499690055847
1555912499.3979528,2168000,0.8683941960334778
1555912505.710316,2170000,0.8342735171318054
1555912512.0870354,2172000,0.795990526676178
1555912518.1344168,2174000,0.8963151574134827
1555912556.1042793,2186000,0.7914711236953735
1555912562.386463,2188000,0.8696326017379761
1555912600.4411607,2200000,0.7047199606895447
1555912613.0595632,2204000,0.8730369806289673
1555912625.4649308,2208000,0.8066888451576233
1555912631.7738628,2210000,0.9014299511909485
1555912638.1323836,2212000,0.7602777481079102
1555912694.831934,2230000,0.8551382422447205
1555912707.4170094,2234000,0.7602194547653198
1555912726.266886,2240000,0.8140637874603271
1555912751.2889225,2248000,0.9006019830703735
1555912764.1568937,2252000,0.9054710865020752
1555912770.4092357,2254000,0.9064999222755432
1555912795.6752656,2262000,0.8033392429351807
1555912801.9551752,2264000,0.868107795715332
1555912814.5905197,2268000,0.9035799503326416
1555912820.8451588,2270000,0.7933653593063354
1555912827.174438,2272000,0.9019795656204224
1555912845.9194052,2278000,0.8669509291648865
1555912852.2179399,2280000,0.8558297157287598
1555912915.5168104,2300000,0.8722452521324158
1555912928.1734912,2304000,0.8749166131019592
1555912934.4868686,2306000,0.912481427192688
1555912953.1816673,2312000,0.8694433569908142
1555912959.4609776,2314000,0.8422325253486633
1555912965.7780154,2316000,0.8871666193008423
1555912984.7374291,2322000,0.9136908650398254
1555912991.0269964,2324000,0.8463408350944519
1555912997.3904207,2326000,0.8684230446815491
1555913092.2413042,2356000,0.8524129986763
1555913111.0877268,2362000,0.7531363368034363
1555913123.723544,2366000,0.7475383877754211
1555913130.0319233,2368000,0.8070803284645081
1555913142.707183,2372000,0.7790917754173279
1555913149.0341458,2374000,0.8713112473487854
1555913167.7231114,2380000,0.8800299763679504
1555913186.696703,2386000,0.7748541235923767
1555913193.031191,2388000,0.8922300934791565
1555913199.3012202,2390000,0.9167367815971375
1555913205.6252341,2392000,0.9043199419975281
1555913218.2541072,2396000,0.9165613651275635
1555913231.0658665,2400000,0.7952829599380493
1555913243.7830276,2404000,0.897804319858551
1555913256.355114,2408000,0.7895657420158386
1555913262.6794314,2410000,0.7642608284950256
1555913275.1138153,2414000,0.7831699252128601
1555913287.6652539,2418000,0.851824939250946
1555913300.3241625,2422000,0.8186734318733215
1555913306.6495357,2424000,0.8972765207290649
1555913312.9030788,2426000,0.7880979776382446
1555913319.1691449,2428000,0.8409181237220764
1555913325.5590327,2430000,0.6993695497512817
1555913388.6204102,2450000,0.8492777347564697
1555913413.8814387,2458000,0.791865348815918
1555913439.05759,2466000,0.9075191617012024
1555913445.4267886,2468000,0.8067499399185181
1555913451.7574437,2470000,0.870594322681427
1555913464.3780448,2474000,0.8115237355232239
1555913483.1164749,2480000,0.8716980814933777
1555913502.0253358,2486000,0.7963112592697144
1555913514.6219795,2490000,0.7345675230026245
1555913527.1638618,2494000,0.9077211022377014
1555913533.5621147,2496000,0.8810876607894897
1555913546.3277311,2500000,0.8411511182785034
1555913571.5385182,2508000,0.7968584299087524
1555913577.6579711,2510000,0.8845499753952026
1555913583.9312215,2512000,0.7799051403999329
1555913596.5737286,2516000,0.9113425612449646
1555913602.8232207,2518000,0.9096320271492004
1555913621.7102633,2524000,0.872141420841217
1555913628.0669432,2526000,0.8042454123497009
1555913634.3903232,2528000,0.8223699331283569
1555913640.7230735,2530000,0.8564249277114868
1555913653.2998223,2534000,0.9107962250709534
1555913684.6321342,2544000,0.8830344080924988
1555913703.6271636,2550000,0.8714527487754822
1555913735.1519182,2560000,0.8513643741607666
1555913747.899687,2564000,0.8772499561309814
1555913773.1522532,2572000,0.9096508622169495
1555913785.5296955,2576000,0.854819118976593
1555913810.7409692,2584000,0.9094622135162354
1555913817.052959,2586000,0.8547978401184082
1555913823.3173892,2588000,0.8718112707138062
1555913829.5888937,2590000,0.9128054976463318
1555913842.211093,2594000,0.9036599397659302
1555913861.2057285,2600000,0.856999933719635
1555913867.593956,2602000,0.7727082967758179
1555913880.1798587,2606000,0.879780650138855
1555913886.22923,2608000,0.9112499356269836
1555913892.5308566,2610000,0.9027599096298218
1555913930.3163676,2622000,0.8075178265571594
1555913942.87575,2626000,0.8711922764778137
1555913949.1735516,2628000,0.8797192573547363
1555913961.8302715,2632000,0.9050391912460327
1555913968.0819438,2634000,0.9092169404029846
1555913987.011731,2640000,0.809206485748291
1555913993.3209255,2642000,0.8056517243385315
1555914024.818294,2652000,0.8510869145393372
1555914031.1145072,2654000,0.913672685623169
1555914037.4041727,2656000,0.8141723871231079
1555914056.492228,2662000,0.7711160182952881
1555914069.0114121,2666000,0.8763090372085571
1555914075.364745,2668000,0.9108703136444092
1555914081.6278117,2670000,0.854574978351593
1555914087.933349,2672000,0.8839913606643677
1555914094.2089097,2674000,0.8779090642929077
1555914100.4700131,2676000,0.868096113204956
1555914138.069972,2688000,0.9139636158943176
1555914169.593017,2698000,0.8333395719528198
1555914176.0642138,2700000,0.8841637372970581
1555914182.3565905,2702000,0.8798157572746277
1555914213.5261812,2712000,0.8487017154693604
1555914238.7925193,2720000,0.8654019236564636
1555914251.3529885,2724000,0.9166052341461182
1555914257.6705525,2726000,0.8286960124969482
1555914282.8670974,2734000,0.919749915599823
1555914307.7138245,2742000,0.8871166110038757
1555914352.0786717,2756000,0.7629721760749817
1555914364.672299,2760000,0.8762363195419312
1555914383.6285849,2766000,0.8940311670303345
1555914396.2086155,2770000,0.9079133868217468
1555914402.5129764,2772000,0.9090188145637512
1555914421.14361,2778000,0.8139482140541077
1555914427.4558594,2780000,0.751196026802063
1555914440.0281546,2784000,0.8529321551322937
1555914446.2959287,2786000,0.8226147294044495
1555914465.1926918,2792000,0.8826982378959656
1555914572.1011925,2826000,0.8821402788162231
1555914578.3901398,2828000,0.806999921798706
1555914584.7323058,2830000,0.9216249585151672
1555914590.964347,2832000,0.8587015867233276
1555914615.9605238,2840000,0.9218789935112
1555914634.7936459,2846000,0.8266531825065613
1555914641.1146414,2848000,0.9143660068511963
1555914660.2470434,2854000,0.8192550539970398
1555914666.5866072,2856000,0.8838792443275452
1555914672.8818362,2858000,0.8734629154205322
